page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
18,90,Rahmad,Indonesia,Business traveler,Superior Room Twin,Stayed 1 night in October 2023,8.8,Excellent,Ok,Good,"February 18, 2024"
19,91,ANNY,Indonesia,Couple,Superior Room Queen,Stayed 1 night in January 2024,10.0,Exceptional,Amazing breakfast,Breakfast very variative.. a lot of traditional food .,"February 16, 2024"
19,92,Dimas,Indonesia,Couple,Superior Room Queen,Stayed 2 nights in September 2023,10.0,Exceptional,Rekomen,Rekomen,"February 15, 2024"
19,93,TETI,Indonesia,Couple,Superior Room Twin,Stayed 2 nights in February 2024,9.2,Exceptional,Semua baik saja kecuali sarapan,"Spti biasanya semua baik kecuali sarapan serasa downgrade, variasi, rasa dan pilihan menu tidak sebaik dulu (sblm pandemi). Tapi ada hal istimewa “Rehat cafe” rasa coklatnya sedikit mirip starbuck.","February 08, 2024"
19,94,Anugrah,Indonesia,Group,Superior Room Twin,Stayed 2 nights in February 2024,10.0,Exceptional,Good value in Tasikmalaya,"Located in downtown Tasikmalaya, closed by mall and restaurants. Staffs were helpful and can accommodate extra bed","February 04, 2024"
19,95,Christian,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in January 2024,8.8,Excellent,Spacious and pretty room,The room was spacious and pretty for a three-star hotel! While the bathroom was just okay but everything worked and went smoothly. The staffs were excellent and the hotel location was very near to train station and city center. Breakfast was okay and still can be improved. Overall it was a very nice stay.,"January 09, 2024"
20,96,Emilia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in January 2024,10.0,Exceptional,Great Hotel,"We had an excellent stay at this hotel. The value for money was great and the location was convenient. The staff were friendly and accommodating, providing excellent service. The breakfast provided was delicious, offering a wide variety of options. We highly recommend this hotel for a comfortable and enjoyable stay.","January 08, 2024"
20,97,Tuti,Indonesia,Family with young children,Superior Room Twin,Stayed 2 nights in December 2023,10.0,Exceptional,Pas buat staycation,"Hotelnya di tengah kota, gampang cari makanan, kamar nyaman, kolam renang memadai, breakfast enak","January 04, 2024"
20,98,Gugum,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in December 2023,10.0,Exceptional,Sangat memuaskan,"Seneng banget staycation di HS Tasikmalaya, staff nya ramah, sarapan nya enak, kamar nya homey bangettt 👍🏻👍🏻👍🏻","January 01, 2024"
20,99,Ahmad,Indonesia,Couple,Deluxe Room Queen,Stayed 2 nights in December 2023,9.2,Exceptional,Bad Air Condition,"1st get a bad moment that the are so hot, asking to move and we get a better room. Nice staff and very helpful","December 29, 2023"
20,100,Donan,Indonesia,Couple,Superior Room Twin,Stayed 1 night in December 2023,9.6,Exceptional,A good short stay in Tasikmalaya,"The hotel met our expectations; we got a good night's rest. My wife forgot her jacket, and the staff contacted us to send it via courier to our house.","December 27, 2023"
21,101,Virna,Indonesia,Group,Deluxe Room Queen,Stayed 1 night in December 2023,10.0,Exceptional,Exceptional,"A city hotel with a good service, there's a good Sundanese resto in front of it.and also good for sight seeing and explore this city within .","December 23, 2023"
21,102,Suryo,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in July 2023,9.6,Exceptional,Enjoy Fasility,Very nice stay in this hotel.,"November 06, 2023"
21,103,Yusup,Indonesia,Business traveler,Superior Room Queen,Stayed 1 night in October 2023,10.0,Exceptional,Perpect place for business traveller,"Clean rooms, huge business desk, good breakfast","October 17, 2023"
21,104,Yuji,Japan,Business traveler,Deluxe Room Twin,Stayed 3 nights in August 2023,4.8,,They didn't change the sheet for days,"I stayed around six nights (I added another three after checking in) and they didn't change the sheet cover and pillow covers in my bedroom for like four days. I could see it because the bed and pillow covers had the same stains, even after the daily housekeeping. I was hectic and tired so I couldn't make the request, but I called the desk after four days, and they finally changed the sheet covers. It was like 10 PM in the night. If they could change it easily like that, why didn't they do that during the daily cleanup in the first place? On the final day of my stay, after I returned back in the night, the floormat for the bathroom was gone. I called the desk and they brought a new one. Another sloppy job at cleaning the room. Were they doing it for a purpose? I have no evidence for it, but one thing I can tell is that their housekeeping service has been very poor.","September 02, 2023"
21,105,Traveller,Indonesia,Family with young children,Superior Room Twin,Stayed 1 night in July 2023,10.0,Exceptional,Clean and comfort room,Located in City. near to everywhere. Clean and comfort room. Breakfast was so so. not worth to pay for the kids.,"July 20, 2023"
22,106,Nathasya,Indonesia,Couple,Superior Room Queen,Stayed 1 night in May 2023,10.0,Exceptional,Exceptional,It's such a very nice experience to stay in this hotel! All the breakfast is so delicious ^^,"July 16, 2023"
22,107,melly,Indonesia,Group,Superior Room Twin,Stayed 1 night in June 2023,6.8,Good,Good,The hotel still has smoking rooms. Make sure choose smoking or non-smoking rooms during booking.,"July 09, 2023"
22,108,Ganny,Indonesia,Family with young children,Deluxe Room Queen,Stayed 1 night in December 2022,10.0,Exceptional,One of the best hotel in Tasikmalaya,One of the best hotel in Tasikmalaya,"June 16, 2023"
22,109,Bambang,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in June 2023,9.2,Exceptional,Exceptional,"Hotel terbaik di Tasikmalaya, worth for money","June 02, 2023"
