page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
36,189,Reza,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Februari 2022,"10,0",Spektakuler,Liburan dengan anak,"Fasilitas Bagus dan pelayanan jg ramah,",
36,190,Hatlembert,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada April 2022,"7,6",Sangat baik,Sangat baik,"Tgl 9 april 2022 cekout tgl 10 april 2022, pesan 3 kamar. Tiba jam 13.30 di hotel. Satu kamar tidak tersedia dan menunggu sedikit lama untuk satu kamar lagi. Dan dua kamar yang tersedia tersebut AC tidak dingin (738 dan 751) setelah dibenarin AC 738 mendingan sedikit, dan AC yang 751 tidak ada perubahan dan pintu aksess card bermasalah. Sampai cekout AC kamar tidak ada perubahan. Sedikit kecewa.",
37,191,danie,Indonesia,Pasangan,Kamar Superior Twin,Menginap 1 malam pada Januari 2022,"9,2",Spektakuler,recomended,"breakfastnya bervariasi, staff ramah",
37,192,Bianca,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Januari 2022,"8,0",Luar biasa,Rekomendasi sih,Tapi sayang nya dalem kamar nya tuh kurang lengkap,
37,193,deddy,Indonesia,Keluarga dengan anak dewasa,Kamar Deluxe Twin,Menginap 1 malam pada Januari 2022,"9,2",Spektakuler,lumayan,beda saat sebelum pandemi..saat sarapan pagi diambilin petugasnya jadi ga bebas..menunya juga berkurang.,
37,194,BAMBANG,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada Desember 2021,"8,0",Luar biasa,Secara keseluruhan Baik,"Secara keseluruhan cukup baik, ac aja kurang dingin..sedikit",
37,195,Asep,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada September 2021,"6,4",Bagus,kurang puas,fasilitas dan harga kurang seimbang. terlalu jauh untuk masuk hotel,
38,196,I,Indonesia,Wisatawan bisnis,Kamar Queen Superior,Menginap 1 malam pada Februari 2020,"10,0",Spektakuler,respon,mantap,
38,197,Edy,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Juni 2021,"2,4",,Menginap di hotel Santika bekasi,"Nyaman, bersih ,ramah dan aman",
38,198,lea,Indonesia,Wisatawan tunggal,Kamar Superior Twin,Menginap 1 malam pada Juni 2021,"10,0",Spektakuler,Pelayanan yang excellent,"Luar biasa pelayanan di hotel santika mega city bekasi ini,sebagai yg sering staycation di berbagai hotel hanya hotel ini yang sangat amat memuaskan,dan yang paling luar biasa lagi pelayanannya adalah saat mereka staf staf hotel mendatangi kamar saya dan memberikan surprise ulang tahun ke saya,di hotel hotel lainnya tidak pernah saya temukan pelayanan semacam ini,sampai saya tanyakan salah satu stafnya kenapa bisa tau hari ulang tahun saya karna dia melihat data saya,sungguh pelayanan yang sangat amat memuaskan dan saya bisa recomended ke kawan kerja saya dan juga client saya bahwasannya di hotel santika mega city bekasi ini service nya sangat sangat memuaskan dan cocok untuk di jadikan staycation,acara pernikahan ataupun saat liburan. Terimakasih atas pelayanan yang amat sangat memuaskannya hotel santika mega city bekasi.",
