ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review
REV-000082,Agoda,Hotel Santika Bandung,2025-01-29,Not far from shopping mall & garden
REV-000083,Agoda,Hotel Santika Bandung,2025-01-29,"Staying during the Lunar New Year holiday with family, the place is great and close to BIP on Riau street for shopping, the facilities are good, and the staff are very friendly.... next time I will come back to stay here."
REV-000084,Agoda,Hotel Santika Bandung,2025-01-28,"The room is comfortable, clean, the staff is very helpful, the food tastes great and there are many breakfast options, definitely recommended. A little input on the lack of room service menu in the room (I don't know if it's just in my room or in all rooms). Overall, very good."
REV-000085,Agoda,Hotel Santika Bandung,2025-01-21,Ok
REV-000086,Agoda,Hotel Santika Bandung,2025-01-20,"good location, good staff, need more renovation for new ambiance, room clean"
REV-000087,Agoda,Hotel Santika Bandung,2025-01-17,"dari awal masuk AC nya gak dingin,,udh minta teknisi benerin tapi gak ngefek. kami tidur sampe gak pake selimut..apalgi siang,,geraah"
REV-000088,Agoda,Hotel Santika Bandung,2025-01-16,"Dipusat kota, lokasi strategis"
REV-000089,Agoda,Hotel Santika Bandung,2025-01-09,"Sangat nyaman bersih dan pelayanan nya oke banget semua staff nya ramah dan sangat membantu apapun yg dibutuhkan Kami ketinggalan kemeja dan celana jeans disimpankan dengan baik di packing dan pas kembali ambil sdh tersedia di front office Thanks yah smua anak saya sangat suka dengan ceasar salad nya , steak nya , perfecto 💖"
REV-000090,Agoda,Hotel Santika Bandung,2025-01-08,Staff super ramah dan lokasi yg sangat dekat kemana2 sangat cocok untuk membawa keluarga
REV-000091,Agoda,Hotel Santika Bandung,2025-01-05,"Lokasi hotel strategis, dan suka dengan arsitektur lama nya"
REV-000092,Agoda,Hotel Santika Bandung,2025-01-05,"All the staff are friendly and smiley, breakfast is varied and complete available until the last minute of breakfast time. The room is clean, but the hotel is semi-outdoor so a gecko entered the room, luckily I managed to evacuate it, please pay more attention to customer comfort."
REV-000093,Agoda,Hotel Santika Bandung,2025-01-02,Perfect stay and location
REV-000094,Agoda,Hotel Santika Bandung,2024-12-30,"Located in the center of the city, close to restaurants and cafe and all hang out places"
REV-000095,Agoda,Hotel Santika Bandung,2024-12-25,Nice & good breakfast
REV-000096,Agoda,Hotel Santika Bandung,2024-12-13,staf ramah dan sangat bantu
REV-000097,Agoda,Hotel Santika Bandung,2024-12-09,"Quick checked-in and checked out process. All staffs are friendly and helpful. Good location, easy to find foods within walking distance. Located opposite of Riau Junction. Excellent breakfast with many varieties."
REV-000098,Agoda,Hotel Santika Bandung,2024-11-26,stayed for 2 nights and got great experience. Easy to go to every famous places
REV-000099,Agoda,Hotel Santika Bandung,2024-11-15,Enjoyed our stay here. Breakfast had a good spread. Friendly staff
REV-000100,Agoda,Hotel Santika Bandung,2024-11-05,"Friendly service and quick response if we need something, complete facilities, breakfast is also okay, only the cleanliness of public facilities and bathrooms need more attention, next insha Allah I will choose this place again and possibly at other locations I will choose Santika, friendly prices, great service and facilities."
REV-000101,Agoda,Hotel Santika Bandung,2024-10-24,"Kamar ok, kebersihan ok. Tempatnya strategis. Tapi Breakfast gak enak sekali. Makanan nya gak enak, pilihannya cuma ada indonesia food"
REV-000102,Agoda,Hotel Santika Bandung,2024-10-02,A very good and recommended.
REV-000103,Agoda,Hotel Santika Bandung,2024-09-30,"Rooms need more cleaning and some renovations. Breakfast menu variation is OK, but rather tasteless. However, it is located in a strategic area and there are enough parking space for guests."
REV-000104,Agoda,Hotel Santika Bandung,2024-09-26,"Thank you for Mr.Cucu as FB Manager, also miss Azizah as the staff, with warm welcoming services at resto, and improvements of Resto menus and layout.Another services is good enough."
REV-000105,Agoda,Hotel Santika Bandung,2024-09-19,"Strategic location, easy to travel and find food. All hotel staff are friendly and assist all guests. The rooms are clean and tidy."
REV-000106,Agoda,Hotel Santika Bandung,2024-09-18,Value foe money and good location
REV-000107,Agoda,Hotel Santika Bandung,2024-09-12,"Hotel with good inner void garden and complete facility. Very good location. The staff is polite, humble, and helpful. Breakfast is good with plenty of choice. Maybe if the rooms is refresh / renovated it would be perfect 😀"
REV-000108,Agoda,Hotel Santika Bandung,2024-09-11,"Nyaman, lokasi dekat kmn2, minuman dan makanan enak. Akan balik lg jika ada kesempatan! Terima kasih santika utk servicenya"
REV-000109,Agoda,Hotel Santika Bandung,2024-09-05,"Was very happy with this stay; the rooms were very comfortable and clean, and the staff were extremely helpful and warm. Only down side is there is no iron in the room, and the hotel only have a small quantity that can borrowed. Otherwise this was an excellent stay."
REV-000110,Agoda,Hotel Santika Bandung,2024-09-05,"Was very happy with this stay; the rooms were very comfortable and clean, and the staff were extremely helpful and warm. Only down side is there is no iron in the room, and the hotel only have a small quantity that can borrowed. Otherwise this was an excellent stay."
REV-000111,Agoda,Hotel Santika Bandung,2024-09-02,"Lokasi dekat kemana2, staff ramah, service memuaskan. Oke banget"
REV-000112,Agoda,Hotel Santika Bandung,2024-09-02,"Tua tapi elegan, breakfast enak, suasanan nyaman, kamar besar. Ranjang besar."
REV-000113,Agoda,Hotel Santika Bandung,2024-08-25,"The room was neat, clean and comfortable. It will be a nice choice to stay in Bandung."
REV-000114,Agoda,Hotel Santika Bandung,2024-08-19,"Hotel yang termasuk sudah legendaris ini terletak di pusat kota, mall hanya tinggal melangkah kesebrang, Staff yang ramah, kebersihan cukup baik, hanya sedikit yang perlu diperhatikan yaitu mengganti seprai tidur yang nampak sudah tua dan ada noda yang tidak dapat dibersihkan."
