page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
41,4,DD,11 September 2024,Perjalanan Bisnis,"4,0",Pelayan yang cekatan.,Ulasan terverifikasi dari tiket.com
41,5,Fitriah Lena,9 September 2024,Perjalanan Bisnis,"5,0","Untuk kamar ok walapun hotel tua, hanya di varian menu sarapannya yang masih lebih banyak disantika yang lainnya seperti Bandung.",Ulasan terverifikasi dari tiket.com
42,1,Raihanisa Dera Permadwika,9 September 2024,Trip Keluarga,"5,0","Sarapannya biasa saja, tetapi pelayanannya bagus.",Ulasan terverifikasi dari tiket.com
42,2,Yuri Selviana Gandasubrata,9 September 2024,Perjalanan Bisnis,"5,0",Kebersihan terjaga maksimal. Kolam renang dengan pemandangan indah. Kolam renang dengan pemandangan indah.,Ulasan terverifikasi dari tiket.com
42,3,Tari Ayu,8 September 2024,Perjalanan Bisnis,"5,0",Dekorasi kolam bagus. Kebersihan parkir terjaga. Dekat dengan tempat makan.,Ulasan terverifikasi dari tiket.com
42,4,Tari Ayu,8 September 2024,Perjalanan Bisnis,"5,0",Hotel sangat menjaga kebersihan. Rasa makanan enak dan sehat.,Ulasan terverifikasi dari tiket.com
42,5,AB,6 September 2024,Perjalanan Bisnis,"5,0",Area bersantai tenang. Dekat dengan fasilitas umum. Staff luar biasa.,Ulasan terverifikasi dari tiket.com
43,1,Yosi Puspita,5 September 2024,Trip Pasangan,"3,0",Mati lampu beberapa kali,Ulasan terverifikasi dari tiket.com
43,2,Gunawan Prabawa,2 September 2024,Trip Keluarga,"5,0",Suasana parkir bersih. Pengaturan yang rapi.,Ulasan terverifikasi dari tiket.com
56,3,Ammar Muhtadi,30 April 2024,Perjalanan Bisnis,"5,0","Mobil ducucikan, Fasilitas kolam sangat estetik.",Ulasan terverifikasi dari tiket.com
56,4,Dwiky Pujo Pratama,29 April 2024,Trip Keluarga,"5,0","Sarapan lumayan, kamar luas, model klasik",Ulasan terverifikasi dari tiket.com
56,5,TT,25 April 2024,Trip Keluarga,"5,0",Interior ramah keluarga. Harga sangat terjangkau. Kualitas pelayanan terbaik.,Ulasan terverifikasi dari tiket.com
57,1,HH,18 April 2024,Trip Keluarga,"4,0","Kamar bersih, dan nyaman. Makan lumayan lengkap",Ulasan terverifikasi dari tiket.com
57,2,Piki Purwanto,18 April 2024,Trip Keluarga,"5,0",Nyaman dan bersih. Terima kasih banyak,Ulasan terverifikasi dari tiket.com
57,3,DENGAN,17 April 2024,Trip Keluarga,"4,0",Kebersihan maksimal.,Ulasan terverifikasi dari tiket.com
57,4,PAGI,16 April 2024,Trip Keluarga,"5,0","Desain sangat kreatif. Murah meriah, pemandangan indah. Resepsionis yang ramah anak dan hewan peliharaan.",Ulasan terverifikasi dari tiket.com
57,5,YM,16 April 2024,Trip Keluarga,"5,0",Kenyamanan terjamin. Ada aktivitas rekreasi keluarga.,Ulasan terverifikasi dari tiket.com
58,1,Muhammad Yusuf,14 April 2024,Trip Keluarga,"4,8","Hampir tiap tahun klo ke Cirebon nginep disini, makanan enak, tempat bersih, pelayanan baik dan mobil ada yg cuci Pemandangan kolam sangat bagus. Suasana sekitar yang segar. Kelezatan makanan tak terlupakan.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com
58,2,Amelia Dwi Agustin,14 April 2024,Trip Keluarga,"5,0",Lokasi yang ideal. Kamar bersih dan nyaman. Pelayan yang ahli.,Ulasan terverifikasi dari tiket.com
58,3,Frizal Fahmi,14 April 2024,Trip Keluarga,"5,0",Hotel di kota cirebon,Ulasan terverifikasi dari tiket.com
58,4,DAN,12 April 2024,Trip Keluarga,"5,0","kamar nyaman dan bersih. interior dan eksterior hotel bagus dan terawat. staf ramah dan helpful, pelayanannya oke. makanan breakfast nikmat.",Ulasan terverifikasi dari tiket.com
58,5,Yusuf Alaidrus Hidayatullah,10 April 2024,Trip Keluarga,"5,0",Pengalaman menyenangkan menginap di santika cirebon bersama keluarga,Ulasan terverifikasi dari tiket.com
59,1,Vernandus Hamonangan,10 April 2024,Trip Keluarga,"3,6",Nyaman buat istirahat perjalanan,Ulasan terverifikasi dari tiket.com
59,2,Fadli Fadli,10 April 2024,Trip Keluarga,"3,8",Hotel nya keliatan sangat Tua...banyak binatang kecil Di kamar Mandi. Over all bagus pelayanan nya.,Ulasan terverifikasi dari tiket.com
67,2,Manasye Agustinus Siregar,25 Desember 2023,Trip Keluarga,"5,0",Bagus,Ulasan terverifikasi dari tiket.com
71,1,Mohammad Wangsit Supriyadi,22 November 2023,,"4,8","Pelayanan sangat baik, fasilitas baik.",Ulasan terverifikasi dari tiket.com
72,3,Cahyaning Tri Bintoro,14 November 2023,Trip Keluarga,"4,0",Bersih nyaman,Ulasan terverifikasi dari tiket.com
74,1,Dewi Puspla Sari,4 November 2023,,"5,0",Kesalahan,Ulasan terverifikasi dari tiket.com
77,2,Luthfiyah Revi Sukmasari,29 September 2023,Perjalanan Bisnis,"5,0",Bagus,Ulasan terverifikasi dari tiket.com
77,3,Nur Hasanah Ahniar,28 September 2023,,"5,0","Pada dasarnya, ini bagus sekali.",Ulasan terverifikasi dari tiket.com
78,1,Eunike Yusnina Santoso,26 September 2023,Trip Keluarga,"5,0",Kaget banget pas check out mobilnya di cuci bersih padahl mobil aku lagi kotor.. hal kecil gini bikin aku bakal balik lgi ke santika cirebon.. terima kasi pelayanannya baik sekali..,Ulasan terverifikasi dari tiket.com
80,2,MATIUS PERANGIN ANGIN,4 September 2023,Trip Pasangan,"4,0",Lokasi strategi,Ulasan terverifikasi dari tiket.com
83,4,Selandia Baru,14 Agustus 2023,,"5,0",OKE,Ulasan terverifikasi dari tiket.com
85,5,Dewi Puspla Sari,4 Agustus 2023,,"5,0",Bagus,Ulasan terverifikasi dari tiket.com
86,3,Dewi Puspla Sari,1 Agustus 2023,,"5,0",Bagus,Ulasan terverifikasi dari tiket.com
103,1,Deden Ardiansyah,30 April 2023,,"5,0",Keren,Ulasan terverifikasi dari tiket.com
103,5,Dewi Puspla Sari,29 April 2023,,"5,0",Kesalahan,Ulasan terverifikasi dari tiket.com
104,1,Josephine Josephine,29 April 2023,Trip Keluarga,"4,4","Hotelnya ok. Swim pool nya besar dan puas. Breakfast nya kurang menurut saya. Dan pelayanan ok banget, setiap pagi mobil tamu di cuciin jd selalu bersih",Ulasan terverifikasi dari tiket.com
104,3,anita fatonah,28 April 2023,,"3,0","Hotelnya zaman dulu, jadi interiornya udah jadul tapi bersih si kamarnya",Ulasan terverifikasi dari tiket.com
104,5,DH,27 April 2023,Trip Keluarga,"5,0","Stafnya ramah dan sangat membantu, kamarnya luas dan bersih, sarapan dengan menu standar tetapi rasanya sangat enak. Pengalaman menginap yang menyenangkan.",Ulasan terverifikasi dari tiket.com
105,2,HN,27 April 2023,Trip Keluarga,"4,6",Kamar luas dan ada sofa,Ulasan terverifikasi dari tiket.com
107,3,Abror Abror,13 April 2023,,"5,0","Kamar nyaman, makanan enak, desain hotel unik",Ulasan terverifikasi dari tiket.com
107,5,Frans Octavianus Manoppo,12 April 2023,Trip Keluarga,"3,0","Over all bagus, hanya menurut saya yang menurun adalah menu sarapan paginya varian menunya kurang rasanya juga menurun. Tidak seperti jaman pada saat Santika masih jaya2nya.",Ulasan terverifikasi dari tiket.com
108,1,Amalia Nurul Iman,10 April 2023,Trip Keluarga,"5,0","Bersih, makanannya enak, kolam renangnya airnya pas, staff ramah & helpful, dapet bonus dicuciin mobilnya 👍👍",Ulasan terverifikasi dari tiket.com
109,5,KU,5 April 2023,Trip Keluarga,"4,0",Ok hotelnya,Ulasan terverifikasi dari tiket.com
110,2,Ari Pramudhito,1 April 2023,,"5,0","Oke bgt. Kolam renang gede, ada sauna, makanannya banyak",Ulasan terverifikasi dari tiket.com
133,5,DS,30 November 2022,Perjalanan Bisnis,"5,0",Setiap dinas selalu ingin menginap disini,Ulasan terverifikasi dari tiket.com
134,1,Amizal Nesbit,29 November 2022,,"4,4",Untuk ruang ganti dikolam renang tolong diberikan penerangan yang baik dan memiliki petugas jaga sehingga memudahkan tamu,Ulasan terverifikasi dari tiket.com
135,2,Fajar Ramadan,18 November 2022,Trip Keluarga,"3,8",Lokasi hotel ditengah kota & dekat dengan spot kuliner khas cirebon,Ulasan terverifikasi dari tiket.com
